Фраза = Перевод | Частота | Важность DGT | Самостоятельная ценность | Маркерная ценность | Частотность слов ÷ 6 | Общий рейтинг
haber obtenido = получить / уже получить | 1 | 0 | 1 | 0 | 0.17 | 2.17
ir subiendo = постепенно повышать | 1 | 0 | 1 | 0 | 0.17 | 2.17
justo un año después = ровно через один год после | 1 | 0 | 1 | 0 | 0.17 | 2.17
la omisión = неоказание, невыполнение | 1 | 0 | 1 | 0 | 0.17 | 2.17
Limpiaparabrisas atrás = дворники сзади | 1 | 0 | 1 | 0 | 0.17 | 2.17
los asientos traseros = задние сиденья | 1 | 0 | 1 | 0 | 0.17 | 2.17
Los días laborales = Рабочие дни | 1 | 0 | 1 | 0 | 0.17 | 2.17
Más despacio = медленнее | 1 | 0 | 1 | 0 | 0.17 | 2.17
más vulnerable = более уязвимый | 1 | 0 | 1 | 0 | 0.17 | 2.17
no alcanzar = не достигать | 1 | 0 | 1 | 0 | 0.17 | 2.17
no sea = не является | 1 | 0 | 1 | 0 | 0.17 | 2.17
perturba gravemente = это серьезно мешает | 1 | 0 | 1 | 0 | 0.17 | 2.17
puesto que = поскольку | 1 | 0 | 1 | 0 | 0.17 | 2.17
que es previsible quedarse = что вполне вероятно (предсказуемо) | 1 | 0 | 1 | 0 | 0.17 | 2.17
que se termina = что заканчивается | 1 | 0 | 1 | 0 | 0.17 | 2.17
revisa periódicamente = периодически проверять | 1 | 0 | 1 | 0 | 0.17 | 2.17
ser propenso a = быть склонным к | 1 | 0 | 1 | 0 | 0.17 | 2.17
ser visible = быть видимым | 1 | 0 | 1 | 0 | 0.17 | 2.17
ser visto = быть замеченным | 1 | 0 | 1 | 0 | 0.17 | 2.17
servir como tal = служить для этой цели | 1 | 0 | 1 | 0 | 0.17 | 2.17
si no existe = если не существует | 1 | 0 | 1 | 0 | 0.17 | 2.17
sin colisionar = без столкновения | 1 | 0 | 1 | 0 | 0.17 | 2.17
sobrepasar / rebasar = объезжать препятствие | 1 | 0 | 1 | 0 | 0.17 | 2.17
sobresale lateralmente = выступает сбоку | 1 | 0 | 1 | 0 | 0.17 | 2.17
termina próximamente = скоро заканчивается | 1 | 0 | 1 | 0 | 0.17 | 2.17
⭕ PROHIBICIÓN = запрещающий знак | 1 | 0 | 1 | 0 | 0.17 | 2.17
1.300–2.000 rpm = diésel | 1 | 0 | 1 | 0 | 0 | 2
2.000–2.500 rpm = gasolina | 1 | 0 | 1 | 0 | 0 | 2
acercarnos a = приближаться к | 1 | 0 | 1 | 0 | 0 | 2
actitud prudente = осторожное поведение | 1 | 0 | 1 | 0 | 0 | 2
adecuarse a = соответствовать, подстраиваться под | 1 | 0 | 1 | 0 | 0 | 2
al corriente de = актуальный, без просрочек | 1 | 0 | 1 | 0 | 0 | 2
al menos = не менее | 1 | 0 | 1 | 0 | 0 | 2
Al polideportivo = в спорткомплекс | 1 | 0 | 1 | 0 | 0 | 2
al resto = остальным | 1 | 0 | 1 | 0 | 0 | 2
ambos lados = обе стороны | 1 | 0 | 1 | 0 | 0 | 2
aun cuando = даже когда | 1 | 0 | 1 | 0 | 0 | 2
avisador acústico = Акустический сигнал | 1 | 0 | 1 | 0 | 0 | 2
B + 3 года стажа = → мотоциклы категории A1 | 1 | 0 | 1 | 0 | 0 | 2
cada vez = всё чаще / всё реже | 1 | 0 | 1 | 0 | 0 | 2
contaminar el agua = загрязняют воду | 1 | 0 | 1 | 0 | 0 | 2
contribuir a = способствовать чему-либо | 1 | 0 | 1 | 0 | 0 | 2
cuando haya = когда имеются, когда есть | 1 | 0 | 1 | 0 | 0 | 2
cuando no haya = если нет | 1 | 0 | 1 | 0 | 0 | 2
daños materiales = материальный ущерб | 1 | 0 | 1 | 0 | 0 | 2
De frente = прямо | 1 | 0 | 1 | 0 | 0 | 2
debido a = вследствие, из-за | 1 | 0 | 1 | 0 | 0 | 2
depende de = это зависит от | 1 | 0 | 1 | 0 | 0 | 2
Desactivamos Start-Stop = выключить старт-стоп | 1 | 0 | 1 | 0 | 0 | 2
desde que = с момента, когда | 1 | 0 | 1 | 0 | 0 | 2
destinados a = предназначенных для | 1 | 0 | 1 | 0 | 0 | 2
diseñada para = предназначенной / спроектированной для | 1 | 0 | 1 | 0 | 0 | 2
disponer de = иметь в распоряжении, располагать | 1 | 0 | 1 | 0 | 0 | 2
dos sentidos = двустороннее движение | 1 | 0 | 1 | 0 | 0 | 2
dotación obligatoria = обязательное оснащение | 1 | 0 | 1 | 0 | 0 | 2
durante los dos años = в течение двух лет | 1 | 0 | 1 | 0 | 0 | 2
durante un año = в течение одного года | 1 | 0 | 1 | 0 | 0 | 2
el equipaje transportado = перевозимый багаж | 1 | 0 | 1 | 0 | 0 | 2
en contradicción = в противоречии | 1 | 0 | 1 | 0 | 0 | 2
en diagonal = по диагонали | 1 | 0 | 1 | 0 | 0 | 2
en fila = в ряд / друг за другом | 1 | 0 | 1 | 0 | 0 | 2
está mojada = мокрая | 1 | 0 | 1 | 0 | 0 | 2
está seca = сухая | 1 | 0 | 1 | 0 | 0 | 2
franjas rojas y blancas = красно-белые полосы | 1 | 0 | 1 | 0 | 0 | 2
Gato hidráulico = домкрат | 1 | 0 | 1 | 0 | 0 | 2
goce de = пользуется, обладает | 1 | 0 | 1 | 0 | 0 | 2
grupos vulnerables = уязвимые группы | 1 | 0 | 1 | 0 | 0 | 2
ha iniciado = начал | 1 | 0 | 1 | 0 | 0 | 2
Hace un año que = Прошёл год с тех пор, как | 1 | 0 | 1 | 0 | 0 | 2
hasta que = до тех пор, пока | 1 | 0 | 1 | 0 | 0 | 2
Hay que mirar = Нам нужно посмотреть | 1 | 0 | 1 | 0 | 0 | 2
haya adoptado = занял, принял | 1 | 0 | 1 | 0 | 0 | 2
identificar su procedencia = определить его происхождение | 1 | 0 | 1 | 0 | 0 | 2
impactar contra = удариться о, столкнуться с | 1 | 0 | 1 | 0 | 0 | 2
impide manejar = мешает управлять | 1 | 0 | 1 | 0 | 0 | 2
inclinándome más = наклоняясь больше | 1 | 0 | 1 | 0 | 0 | 2
La percepción = Восприятие | 1 | 0 | 1 | 0 | 0 | 2
La sensación = ощущение | 1 | 0 | 1 | 0 | 0 | 2
las advertencias acústicas? = Звуковые сигналы? | 1 | 0 | 1 | 0 | 0 | 2
las pendientes = Подъем / спуск | 1 | 0 | 1 | 0 | 0 | 2
Limpiaparabrisas delante = дворники спереди | 1 | 0 | 1 | 0 | 0 | 2
llegando incluso a = вплоть до того, чтобы | 1 | 0 | 1 | 0 | 0 | 2
lo indique = указывает на это | 1 | 0 | 1 | 0 | 0 | 2
lo prohíban = запрещают это | 1 | 0 | 1 | 0 | 0 | 2
los dos próximos años = следующие два года | 1 | 0 | 1 | 0 | 0 | 2
los menos frecuentes = Менее частыми | 1 | 0 | 1 | 0 | 0 | 2
los obreros = рабочие | 1 | 0 | 1 | 0 | 0 | 2
los saltos = прыжки | 1 | 0 | 1 | 0 | 0 | 2
límites permitidos = допустимые пределы | 1 | 0 | 1 | 0 | 0 | 2
Líquido refrigerante = охлаждающая жидкость | 1 | 0 | 1 | 0 | 0 | 2
mala colocación = неправильное размещение | 1 | 0 | 1 | 0 | 0 | 2
me sigue = следует за мной | 1 | 0 | 1 | 0 | 0 | 2
mediante marcas viales = посредством дорожной разметки | 1 | 0 | 1 | 0 | 0 | 2
muy espesa = густой туман | 1 | 0 | 1 | 0 | 0 | 2
más frecuentes = более часто | 1 | 0 | 1 | 0 | 0 | 2
más modernos = более современные | 1 | 0 | 1 | 0 | 0 | 2
más protegido = более защищённый | 1 | 0 | 1 | 0 | 0 | 2
más próxima = ближайшая | 1 | 0 | 1 | 0 | 0 | 2
más resbaladizas = более скользкий | 1 | 0 | 1 | 0 | 0 | 2
Más separación = больше дистанции | 1 | 0 | 1 | 0 | 0 | 2
no es reglamentaria = не предусмотрен правилами | 1 | 0 | 1 | 0 | 0 | 2
no estén colocadas = они не установлены / не размещены | 1 | 0 | 1 | 0 | 0 | 2
no hay ninguna = нет никакой | 1 | 0 | 1 | 0 | 0 | 2
No nos incorporamos = не вливаемся | 1 | 0 | 1 | 0 | 0 | 2
no se consideran = не считаются | 1 | 0 | 1 | 0 | 0 | 2
no se estropean = не портятся / не ломаются | 1 | 0 | 1 | 0 | 0 | 2
no supera = не превышает | 1 | 0 | 1 | 0 | 0 | 2
No, aunque lo pida = Нет, даже если он спросит. | 1 | 0 | 1 | 0 | 0 | 2
Nos incorporamos = вливаемся в поток | 1 | 0 | 1 | 0 | 0 | 2
Nos quedamos dentro = остаёмся внутри круга | 1 | 0 | 1 | 0 | 0 | 2
para no = чтобы не | 1 | 0 | 1 | 0 | 0 | 2
pendiente ascendente = восходящий уклон Подьем | 1 | 0 | 1 | 0 | 0 | 2
pendiente descendente = нисходящий уклон | 1 | 0 | 1 | 0 | 0 | 2
pensar que = учитывать, предполагать | 1 | 0 | 1 | 0 | 0 | 2
piernas dobladas = согнутые ноги | 1 | 0 | 1 | 0 | 0 | 2
por si = на случай если | 1 | 0 | 1 | 0 | 0 | 2
presión alta = высокое давление | 1 | 0 | 1 | 0 | 0 | 2
presión baja = низкое давление | 1 | 0 | 1 | 0 | 0 | 2
primeros auxilios = первая помощь | 1 | 0 | 1 | 0 | 0 | 2
público o privado = государственный или частный | 1 | 0 | 1 | 0 | 0 | 2
que es previsible = что предсказуемо | 1 | 0 | 1 | 0 | 0 | 2
que existan = которые существуют | 1 | 0 | 1 | 0 | 0 | 2
que nos preceden = транспортные средства, едущие впереди нас | 1 | 0 | 1 | 0 | 0 | 2
que permita = позволяющая | 1 | 0 | 1 | 0 | 0 | 2
que se encuentra = который находится | 1 | 0 | 1 | 0 | 0 | 2
que son inevitables = которые неизбежны | 1 | 0 | 1 | 0 | 0 | 2
rebasar a... = объехать / миновать / обогнать кого-либо | 1 | 0 | 1 | 0 | 0 | 2
se consideran = считаются | 1 | 0 | 1 | 0 | 0 | 2
se consigue = это достигается | 1 | 0 | 1 | 0 | 0 | 2
se encuentre = находилось | 1 | 0 | 1 | 0 | 0 | 2
se garantice = обеспечивается | 1 | 0 | 1 | 0 | 0 | 2
se producen = происходят | 1 | 0 | 1 | 0 | 0 | 2
se refieren = они относятся | 1 | 0 | 1 | 0 | 0 | 2
se verá = окажется / будет | 1 | 0 | 1 | 0 | 0 | 2
Si desea = Если вы хотите | 1 | 0 | 1 | 0 | 0 | 2
si hay = если есть | 1 | 0 | 1 | 0 | 0 | 2
si se = если | 1 | 0 | 1 | 0 | 0 | 2
sin abроchar = не пристёгнутый | 1 | 0 | 1 | 0 | 0 | 2
sin encorvar = не наклоняясь | 1 | 0 | 1 | 0 | 0 | 2
Son complementarias = Они дополняют друг друга | 1 | 0 | 1 | 0 | 0 | 2
sucesos predecibles = предсказуемые события | 1 | 0 | 1 | 0 | 0 | 2
sus inmediaciones = его окрестности | 1 | 0 | 1 | 0 | 0 | 2
sí, aunque no haya = да, даже если нет | 1 | 0 | 1 | 0 | 0 | 2
sí, mediante = да, посредством / да, с помощью (чего-либо) | 1 | 0 | 1 | 0 | 0 | 2
tratando de = пытаясь | 1 | 0 | 1 | 0 | 0 | 2
un camino = дорога, путь | 1 | 0 | 1 | 0 | 0 | 2
un retraso = задержка | 1 | 0 | 1 | 0 | 0 | 2
una vez = после того как | 1 | 0 | 1 | 0 | 0 | 2
y que hay obras = и что впереди дорожные работы | 1 | 0 | 1 | 0 | 0 | 2
⚪🔴 70 = максимум 70 разрешено | 1 | 0 | 1 | 0 | 0 | 2
✅ descenso = спуск | 1 | 0 | 1 | 0 | 0 | 2
❌ ascenso = подъём | 1 | 0 | 1 | 0 | 0 | 2
🔵 70 = минимум 70 обязателен | 1 | 0 | 1 | 0 | 0 | 2
🟦 70 = 70 рекомендуется | 1 | 0 | 1 | 0 | 0 | 2
🟦 RECOMENDACIÓN = РЕКОМЕНДУЕМЫЕ | 1 | 0 | 1 | 0 | 0 | 2
